Accuracy,Author,Date,Full_Text,Genre,Opponents,Participants,Race Number,Racer,Rank,Speed,Title,errors
93.7%,Nintendo,"Thu, 9 May 2019 09:39:15 +0000","The mother was gravely injured. Her only choice was to entrust the child to the Deku Tree, the guardian spirit of the forest. The Deku Tree could sense that this was a child of destiny, whose fate would affect the entire world, so he took him into the forest.",game,grimmer (1st place) the_who (2nd place),5,2517,Liad (ozonzono),4,57 WPM Try,The Legend of Zelda: Ocarina Of time,"[('Her', 'h instead of H'), ('was', 'a instead of w'), ('entrust', 'e instead of t'), ('the', 'i instead of t'), ('child', 'd instead of c'), ('Tree,', 'u instead of e'), ('Deku', 'd instead of D'), ('was', 'o instead of a'), ('a', 't instead of a'), ('of', 'a instead of o'), ('destiny,', 's instead of d'), ('entire', 'i instead of n'), ('world,', 'u instead of r'), ('he', 'w instead of h'), ('him', 't instead of h'), ('into', 'o instead of i'), ('forest.', 'e instead of t')]"
96.1%,Carlo Zen,"Thu, 9 May 2019 09:42:41 +0000","Bingo! Tanya wants to shout with glee at how the enemy chalks up another error for us, but she looks at her adjutant with a satisfied smirk that says, Do you know what this means? No matter who is down there, if they're hidden like that, they must be making secret plans.",book,flip2theleft (1st place),4,2518,Liad (ozonzono),2,59 WPM Try,"The Saga of Tanya the Evil, Vol. 3 (light novel): The Finest Hour","[('glee', 'a instead of g'), ('chalks', 'a instead of h'), ('for', 'u instead of f'), ('she', 'e instead of l'), ('looks', 's instead of k'), ('her', ' instead of r'), ('adjutant', 't instead of n'), ('smirk', 'a instead of s'), ('down', 'e instead of w'), ('that,', ' instead of ,'), ('making', ', instead of k'), ('plans.', 'e instead of .')]"
97.5%,Harold Ramis,"Thu, 9 May 2019 09:45:22 +0000","People just don't understand what is involved in this. This is an art form! You know, I think that most people just think that I hold a camera and point at stuff, but there is a heck of a lot more to it than just that.",movie,dxn_exe (5th place) rznrzn (2nd place),5,2519,Liad (ozonzono),4,63 WPM Try,Groundhog Day,"[('is', 'n instead of s'), ('this.', ' instead of .'), ('know,', 'n instead of k'), ('hold', 'a instead of o'), ('point', 'i instead of o'), ('heck', 'a instead of c')]"
94.3%,Sara Bareilles,"Thu, 9 May 2019 09:46:17 +0000","I'm not the one who's lost with no direction, but you'll never see. You're so busy making masks with my name on them in all caps. You got the talking down, just not the listening.",song,,4,2520,Liad (ozonzono),4,58 WPM Try,King Of Anything,"[(""I'm"", 'n instead of m'), (""who's"", ""l instead of '""), ('no', 'o instead of n'), ('so', ' instead of o'), ('busy', ' instead of y'), ('name', 'l instead of n'), ('on', 't instead of o'), ('in', ' instead of n'), ('talking', 'd instead of g')]"
93.8%,Capcom,"Thu, 9 May 2019 09:48:11 +0000","I'll never forget it. It was the year when these grisly murders occurred in the Arklay Mountains. Soon after, the news was out to the whole world revealing that it was the fault of a secret viral experiment conducted by the international pharmaceutical enterprise, Umbrella. The virus broke out in a nearby mountain community, Raccoon City. And hit the peaceful little town with a devastating blow crippling its very foundation.",game,,5,2521,Liad (ozonzono),3,53 WPM Try,Resident Evil 4 - PlayStation 2,"[(""I'll"", ""l instead of '""), ('year', 't instead of w'), ('when', 'a instead of e'), ('these', 'h instead of t'), ('murders', 's instead of r'), ('occurred', 'e instead of r'), ('Arklay', 'y instead of a'), ('Mountains.', 'm instead of M'), ('after,', 'r instead of t'), ('was', 'a instead of w'), ('the', 'w instead of t'), ('whole', 'e instead of l'), ('revealing', 'e instead of r'), ('by', 't instead of b'), ('international', 'g instead of t'), ('Umbrella.', 'p instead of m'), ('nearby', 'r instead of a'), ('Raccoon', 'o instead of c'), ('And', 'N instead of n'), ('with', 't instead of i'), ('crippling', 't instead of n'), ('its', 't instead of i'), ('very', 'r instead of e')]"
95.4%,Obsidian Entertainment,"Thu, 9 May 2019 09:49:26 +0000",Have you ever tried to indulge an all-consuming urge to kill when you don't have opposable thumbs? Or hands? Or anything other than a bread slot?,game,,5,2522,Liad (ozonzono),5,55 WPM Try,Fallout New Vegas,"[('all-consuming', 'a instead of c'), ('thumbs?', 'e instead of s'), ('Or', 'o instead of O'), ('anything', 'i instead of h'), ('than', 't instead of n'), ('bread', 't instead of d')]"
93.6%,Brian Greene,"Thu, 9 May 2019 09:50:14 +0000",One overarching lesson we have learned during the past hundred years is that the known laws of physics are associated with principles of symmetry.,book,,5,2523,Liad (ozonzono),4,54 WPM Try,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory","[('overarching', ' instead of a'), ('learned', 'd instead of e'), ('hundred', 'e instead of r'), ('known', 's instead of n'), ('physics', 'e instead of s'), ('are', 's instead of a'), ('with', 't instead of w'), ('principles', 'i instead of l'), ('symmetry.', 'y instead of r')]"
94.4%,David M Bourg,"Thu, 9 May 2019 09:51:45 +0000","A vector is a quantity that has both magnitude and direction. Recall that a scalar, unlike a vector, has only magnitude and no direction. In mechanics, quantities such as force, velocity, acceleration, and momentum are vectors, and you must consider both their magnitude and direction.",book,gmorcad_2 (2nd place),5,2524,Liad (ozonzono),1,54 WPM Try,Physics for Game Developers,"[('direction.', 'd instead of i'), ('scalar,', 'c instead of s'), ('vector,', 'c instead of v'), ('no', 't instead of d'), ('direction.', 'i instead of d'), ('mechanics,', 'e instead of s'), ('quantities', 'Q instead of q'), ('as', ' instead of s'), ('velocity,', 'f instead of v'), ('vectors,', ' instead of ,'), ('their', 'i instead of h'), ('magnitude', 'i instead of m'), ('direction.', 'd instead of c')]"
95.9%,J.K. Rowling,"Thu, 9 May 2019 13:39:14 +0000","I have already told you, I have no further stocks of Veritaserum. Unless you wish to poison Potter - and I can assure you I would have the greatest sympathy if you did - I cannot help you. The only trouble is that most venoms act too swiftly to give the victim much in the way of time for truth telling.",book,chinguun_0301 (3rd place) ungerfall (4th place),5,2525,Liad (ozonzono),2,58 WPM Try,Harry Potter and the Order of the Phoenix,"[('Veritaserum.', ', instead of .'), ('poison', 's instead of i'), ('can', 'a instead of c'), ('you', 'u instead of o'), ('would', 'o instead of w'), ('the', ' instead of e'), ('sympathy', 'e instead of s'), ('The', 'Y instead of T'), ('venoms', 's instead of m'), ('act', 'o instead of t'), ('give', 'v instead of g'), ('in', 't instead of t')]"
97.5%,The Goo Goo Dolls,"Thu, 9 May 2019 13:39:50 +0000","And I don't want the world to see me 'cause I don't think that they'd understand. When everything's meant to be broken, I just want you to know who I am.",song,stinkyweezle (1st place) transgender_duck (2nd place),4,2526,Liad (ozonzono),4,70 WPM Try,Iris,"[('understand.', 'w instead of u'), (""everything's"", 'r instead of e')]"
94.4%,National Science Resources Center,"Thu, 9 May 2019 13:41:32 +0000","Why study science? Science, more than any other discipline, provides us with tools to learn about the world. Science is not a listing of facts; science is an invitation to observe the world, ask questions, and puzzle over problems and enjoy the process of solving them. From the time children begin to perceive their environment, they are involved in science.",book,anzywes (2nd place),4,2527,Liad (ozonzono),4,55 WPM Try,Magnets and Motors: Teacher's Guide,"[('than', 'e instead of a'), ('any', 'o instead of y'), ('discipline,', 's instead of d'), ('us', 's instead of u'), ('world.', 'r instead of w'), ('Science', 'e instead of i'), ('listing', 'l instead of n'), ('an', ' instead of n'), ('invitation', 'a instead of t'), ('to', 'o instead of t'), ('questions,', ' instead of ,'), ('over', 'f instead of v'), ('enjoy', 'm instead of n'), ('process', 'r instead of p'), ('solving', 'w instead of s'), ('environment,', 'r instead of i'), ('involved', 'o instead of v'), ('science.', 't instead of c')]"
95.8%,Jordan B. Peterson,"Thu, 9 May 2019 13:43:29 +0000","So, attend carefully to your posture. Quit drooping and hunching around. Speak your mind. Put your desires forward, as if you had a right to them - at least the same right as others. Walk tall and gaze forthrightly ahead. Dare to be dangerous. Encourage the serotonin to flow plentifully through the neural pathways desperate for its calming influence.",book,,5,2528,Liad (ozonzono),3,58 WPM Try,12 Rules for Life: An Antidote to Chaos,"[('So,', ' instead of ,'), ('forward,', 'r instead of w'), ('them', 'i instead of e'), ('at', 't instead of a'), ('same', 'a instead of s'), ('right', 't instead of g'), ('Walk', 'w instead of W'), ('forthrightly', 'i instead of r'), ('Encourage', 't instead of a'), ('plentifully', 'u instead of e'), ('through', 'h instead of g'), ('neural', 'l instead of a'), ('pathways', 'a instead of p'), ('desperate', 'r instead of e'), ('calming', 'l instead of a')]"
97.8%,Oscar Hammerstein II,"Thu, 9 May 2019 13:44:36 +0000","My heart wants to beat like the wings of the birds that rise from the lake to the trees. My heart wants to sigh like a chime that flies from a church on a breeze, to laugh like a brook when it trips and falls over stones on its way, to sing through the night like a lark who is learning to pray.",song,,5,2529,Liad (ozonzono),4,70 WPM Try,The Sound of Music,"[('beat', 'o instead of b'), ('birds', 'o instead of i'), ('sigh', 'c instead of g'), ('brook', 'o instead of r'), ('way,', ' instead of ,'), ('learning', 'n instead of r')]"
95.5%,Billy Joel,"Thu, 9 May 2019 13:45:29 +0000",They got an apartment with deep pile carpet and a couple of paintings from Sears. A big waterbed that they bought with the bread they had saved for a couple of years.,song,awwwwww (3rd place) kutsalruh (4th place),5,2530,Liad (ozonzono),5,55 WPM Try,Scenes from an Italian Restaurant,"[('apartment', 'r instead of a'), ('paintings', ' instead of s'), ('they', 'e instead of h'), ('for', 'r instead of o'), ('couple', 'p instead of u'), ('of', 'r instead of f')]"
97.1%,George Cukor,"Thu, 9 May 2019 13:47:50 +0000","You've got no faith in Johnny, have you, Julia? His little dream may fall flat, you think. Well, so it may, what if it should? There'll be another. Oh, I've got all the faith in the world in Johnny. Whatever he does is alright with me. If he wants to dream for a while, he can dream for a while, and if he wants to come back and sell peanuts, oh, how I'll believe in those peanuts!",movie,jcew (2nd place),5,2531,Liad (ozonzono),1,64 WPM Try,Holiday,"[('should?', ' instead of ?'), ('world', 'r instead of o'), ('Johnny.', 'O instead of o'), ('with', 'l instead of t'), ('for', 'a instead of f'), ('while,', '. instead of ,'), ('come', 'm instead of o'), ('oh,', 'a instead of o'), ('believe', 'v instead of e'), ('peanuts!', 'o instead of p')]"
97.4%,Richard Attenborough,"Thu, 9 May 2019 13:49:17 +0000","Whenever I despair, I remember that the way of truth and love has always won. There may be tyrants and murderers, and for a time, they may seem invincible, but in the end, they always fail. Think of it: always.",movie,ar7n (3rd place) awwwwww (1st place),5,2532,Liad (ozonzono),2,64 WPM Try,Gandhi,"[('always', 's instead of s'), ('and', 'f instead of n'), ('for', 'r instead of f'), ('seem', 'd instead of s'), ('always', 'w instead of a')]"
97.6%,Perry W. Buffington,"Thu, 9 May 2019 13:50:27 +0000","If there is a design or pattern on our china, we eat until we can see the design clearly. If you're on a diet, eat from plates with no design - or even better, from plain white china. Without the design present to influence you, you have less incentive to clean your plate.",book,dweepie (2nd place) stache_milktea (5th place),5,2533,Liad (ozonzono),3,66 WPM Try,Cheap Psychological Tricks: How To Get What You Want and Be Happy,"[('design', 'n instead of g'), ('eat', 'r instead of t'), ('design', 'h instead of n'), ('plates', 't instead of p'), ('even', 'f instead of e')]"
95.7%,Ross Bentley,"Thu, 9 May 2019 13:51:56 +0000","Don't practice too much at first, or you're likely to develop incorrect patterns or movements. Instead, begin with a few laps, maintaining intense concentration and motivation. If you begin to repeat an error, or if your concentration or attention starts to fade, if you start to become casual, then stop. Clear your head, get your concentration and motivation back, then go again.",book,ar7n (3rd place) bounceftw (1st place) cynibro (4th place),5,2534,Liad (ozonzono),5,58 WPM Try,Speed Secrets: Professional Race Driving Techniques,"[(""Don't"", '\\ instead of t'), ('practice', 'v instead of c'), ('incorrect', 'e instead of o'), ('patterns', 's instead of n'), ('movements.', 'm instead of v'), ('begin', 'g instead of w'), ('maintaining', 'l instead of m'), ('concentration', 's instead of a'), ('or', 'r instead of o'), ('concentration', 't instead of n'), ('fade,', 's instead of d'), ('casual,', 'd instead of a'), ('your', ' instead of r'), ('concentration', 'c instead of e'), ('again.', 'i instead of a')]"
95.9%,Madonna,"Thu, 9 May 2019 13:52:33 +0000",I wish that you were here with me. Well then there's hope yet. I can see your face in our secret place. You're not just a memory.,song,elvisw (5th place) mdressla2985 (3rd place),5,2535,Liad (ozonzono),1,60 WPM Try,This Used to Be My Playground,"[('that', 'e instead of a'), ('Well', 'E instead of W'), ('not', 'm instead of o')]"
96.2%,Cracker,"Thu, 9 May 2019 13:53:21 +0000",'Cause what the world needs now is a new kind of tension 'cause the old one just bores me to death. 'Cause what the world needs now is another folk singer like I need a hole in my head.,song,ar7n (1st place) craggles (4th place),5,2536,Liad (ozonzono),2,63 WPM Try,Teen Angst (What the World Needs Now),"[('is', 't instead of s'), ('tension', ""' instead of '""), (""'cause"", ' instead of c'), ('one', 'm instead of o'), ('another', 'n instead of a'), ('folk', 'l instead of o'), ('my', 'h instead of y')]"
93.5%,Yu-Gi-Oh!,"Fri, 10 May 2019 15:54:47 +0000","This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",other,,5,2537,Liad (ozonzono),4,55 WPM Try,Blue-Eyes White Dragon,"[('dragon', 't instead of g'), ('powerful', 'w instead of p'), ('destruction.', 's instead of d'), ('invincible,', '. instead of ,'), ('this', 'w instead of t'), ('awesome', 's instead of e'), ('tell', 'e instead of t'), ('tale.', 'a instead of t')]"
97.1%,J.K. Rowling,"Fri, 10 May 2019 15:56:09 +0000","You look in excellent health to me, Potter, so you will excuse me if I don't let you off homework today. I assure you that if you do die, you need not hand it in.",book,ch1nadollz (4th place) shmittywerben (3rd place),5,2538,Liad (ozonzono),1,69 WPM Try,Harry Potter and the Prisoner of Azkaban,"[('excuse', 'c instead of x'), ('off', 'o instead of h'), ('need', 'd instead of n'), ('in.', 'n instead of i')]"
97.0%,Led Zeppelin,"Fri, 10 May 2019 15:57:52 +0000","If there's a bustle in your hedgerow, don't be alarmed now, it's just a spring clean for the May queen. Yes, there are two paths you can go by, but in the long run there's still time to change the road you're on.",song,charleschrist (4th place) dorfman27 (2nd place) imtiaz123 (1st place),5,2539,Liad (ozonzono),5,65 WPM Try,Stairway to Heaven,"[(""there's"", 'e instead of h'), ('bustle', 'y instead of e'), ('spring', 'e instead of r'), ('the', 'y instead of t'), ('queen.', ' instead of .'), ('long', 'g instead of n')]"
97.3%,Dave Eggers,"Fri, 10 May 2019 15:58:55 +0000",We have advantages. We have a cushion to fall back on. This is abundance. A luxury of place and time. Something rare and wonderful. It's almost historically unprecedented. We must do extraordinary things. We have to. It would be absurd not to.,book,_reverse_flash_ (4th place) dorfman27 (2nd place) rahul0379 (1st place),5,2540,Liad (ozonzono),3,60 WPM Try,A Heartbreaking Work of Staggering Genius,"[('fall', 'v instead of f'), ('A', 'a instead of A'), ('luxury', 'z instead of x'), ('unprecedented.', 'n instead of d'), ('extraordinary', 'a instead of n'), ('absurd', 'e instead of r')]"
96.5%,William Shakespeare,"Fri, 10 May 2019 16:00:35 +0000","Till then, my noble friend, chew upon this: Brutus had rather be a villager than to repute himself a son of Rome under these hard conditions as this time is like to lay upon us.",other,ischdaloos (2nd place) jamesofnet (1st place) tungarsenal97 (5th place),5,2541,Liad (ozonzono),4,62 WPM Try,Julius Caesar,"[('then,', ' instead of ,'), ('noble', 'b instead of n'), ('Brutus', 'i instead of u'), ('himself', 'o instead of e'), ('conditions', 't instead of i'), ('upon', 'o instead of p')]"
95.1%,Victor Fleming,"Fri, 10 May 2019 16:01:42 +0000","Almira Gulch, just because you own half the county doesn't mean that you have the power to run the rest of us. For twenty-three years, I've been dying to tell you what I thought of you! And now... well, being a Christian woman, I can't say it!",movie,ischdaloos (2nd place) tazzerer (1st place) tungarsenal97 (3rd place),5,2542,Liad (ozonzono),4,57 WPM Try,The Wizard of Oz,"[('because', ' instead of e'), ('own', 'w instead of o'), ('rest', 'a instead of s'), ('of', 's instead of f'), ('For', 'r instead of o'), ('twenty-three', 'e instead of w'), ('well,', 'W instead of w'), ('Christian', 'c instead of C'), ('woman,', 'W instead of w'), (""can't"", 'a instead of c')]"
96.8%,Squaresoft,"Fri, 10 May 2019 16:03:00 +0000","In our world, every storm has an end. Every night, brings a new morning. What's important is to trust those you love, and never give up. We must all keep hope alive.",game,hokage_sama (2nd place),5,2543,Liad (ozonzono),3,64 WPM Try,Chrono Trigger,"[('every', ' instead of y'), ('night,', 't instead of n'), ('trust', 'h instead of t'), ('those', ' instead of e'), ('love,', 'e instead of v'), ('never', 'r instead of e')]"
98.5%,John Green,"Fri, 10 May 2019 16:04:12 +0000","And his dad's smile faded just a bit - the prodigy could read, but he could not see. And if only Colin had known that he was missing a piece, that his inability to see himself in the story of a circle was an unfixable problem, he might have known that the rest of the world would catch up with him as time passed.",book,epicswagguy (3rd place) letranconghung (1st place) tungarsenal97 (5th place) wudeydo2u (2nd place),5,2544,Liad (ozonzono),4,67 WPM Try,An Abundance of Katherines,"[('And', 'd instead of h'), (""dad's"", 's instead of d'), ('not', 'e instead of o'), ('the', 'i instead of e'), ('world', 'l instead of r')]"
98.0%,The Weeknd,"Fri, 10 May 2019 16:05:08 +0000","Talk to me baby. Tell me what you're feeling. You say you don't need to go... don't you pretend you didn't know... how all of this would end up. Girl I saw it in your eyes, and baby I can read your mind, and expectations were not in sight.",song,peteremad777 (5th place) tungarsenal97 (3rd place) yumiko707 (4th place),5,2545,Liad (ozonzono),1,71 WPM Try,Initiation,"[('Girl', 'F instead of G'), ('saw', 'a instead of s'), ('your', ' instead of r'), ('mind,', 'o instead of n')]"
95.8%,Gosho Aoyama,"Sat, 11 May 2019 17:26:33 +0000","In detective work, there's no winning or losing... there's no being inferior or superior... that's because there's always one and only one truth.",other,atreidaus (2nd place) hudmc (4th place) vchhabra33 (1st place),5,2546,Liad (ozonzono),5,64 WPM Try,Meitantei Conan,"[('detective', 'r instead of c'), ('losing...', 'i instead of o'), ('or', 'f instead of r'), ('superior...', 'o instead of e'), ('because', 'u instead of a'), (""there's"", 't instead of r'), ('only', 'y instead of l')]"
96.4%,Ayn Rand,"Sat, 11 May 2019 17:27:36 +0000","There's nothing as significant as a human face. Nor as eloquent. We can never really know another person, except by our first glance at him. Because, in that glance, we know everything. Even though we're not always wise enough to unravel the knowledge.",book,hoid (1st place),5,2547,Liad (ozonzono),3,61 WPM Try,The Fountainhead,"[('significant', 'a instead of c'), ('human', 'n instead of a'), ('everything.', 't instead of y'), ('though', 'r instead of g'), (""we're"", 'n instead of r'), ('always', 'w instead of a'), ('knowledge.', 't instead of g')]"
95.6%,Ralph McTell,"Sat, 11 May 2019 17:28:33 +0000","In the all night cafe at a quarter past eleven, same old man sitting there on his own, looking at the world over the rim of his teacup, and each tea lasts an hour and he wanders home alone.",song,hoid (2nd place),5,2548,Liad (ozonzono),3,60 WPM Try,The Streets Of London,"[('cafe', 'v instead of c'), ('past', 'e instead of t'), ('same', 'a instead of s'), ('there', 'i instead of t'), ('world', 'l instead of r'), ('his', 't instead of h'), ('teacup,', 'y instead of u'), ('lasts', 't instead of l'), ('and', 'n instead of a')]"
96.8%,Orson Scott Card,"Sat, 11 May 2019 17:29:19 +0000","I used to dread getting older because I thought I would not be able to do all the things I wanted to do, but now that I'm older I find that I don't want to do them.",book,hoid (3rd place) slethron (1st place),3,2549,Liad (ozonzono),2,68 WPM Try,Ender's Game,"[('dread', 'e instead of r'), ('would', 'l instead of u'), ('all', ' instead of l'), ('the', 'i instead of e'), ('wanted', 'r instead of d'), ('find', 'd instead of f')]"
95.5%,Terry Jones,"Sat, 11 May 2019 17:31:01 +0000","King, eh? Very nice. And how'd you get that, eh? By exploiting the workers. By hanging on to outdated imperialist dogma which perpetuates the economic and social differences in our society.",movie,awriter (2nd place),4,2550,Liad (ozonzono),4,54 WPM Try,Monty Python and The Holy Grail,"[('Very', 'E instead of e'), ('exploiting', 'i instead of o'), ('workers.', 'r instead of o'), ('outdated', 'r instead of t'), ('our', 't instead of r')]"
95.2%,Kelis,"Sat, 11 May 2019 17:31:46 +0000","My milkshake brings all the boys to the yard, and they're like: it's better than yours. Damn right it's better than yours. I can teach you, but I have to charge.",song,stephan_t (1st place),4,2551,Liad (ozonzono),2,57 WPM Try,Milkshake,"[('milkshake', 's instead of l'), ('brings', ' instead of s'), ('better', 'h instead of t'), ('yours.', '. instead of s'), (""it's"", 'I instead of i'), ('teach', 'h instead of e'), ('you,', ' instead of ,'), ('charge.', 'a instead of h')]"
98.7%,Monty Oum,"Sat, 11 May 2019 17:34:38 +0000","We were being treated like equals, but not out of respect. Out of fear. So, I left. I decided I no longer wanted to use my skills to aid in their violence. Instead, I would dedicate my life to becoming a Huntress. So here I am, a criminal hiding in plain view, all with the help of a little, black bow.",other,colemakschlick (2nd place) kqo3015 (1st place),4,2552,Liad (ozonzono),3,63 WPM Try,RWBY,"[('Out', 'o instead of t'), ('left.', ' instead of .'), ('dedicate', 'i instead of d'), ('criminal', 'k instead of i')]"
98.1%,Cornelius Vanderbilt,"Sat, 11 May 2019 18:01:21 +0000","Gentlemen: You have undertaken to cheat me. I won't sue you, for the law is too slow. I'll ruin you.",book,akrish (3rd place) krishna_17 (4th place),5,2553,Liad (ozonzono),2,70 WPM Try,The Forbes Great Book of Business Letters,"[('undertaken', 'j instead of n'), ('cheat', 'n instead of t')]"
95.8%,LCD Soundsystem,"Sat, 11 May 2019 18:03:35 +0000",I hear you're buying a synthesizer and an arpeggiator and are throwing your computer out the window because you want to make something real. You want to make a Yaz record. I hear that you and your band have sold your guitars and bought turntables. I hear that you and your band have sold your turntables and bought guitars. I hear everybody that you know is more relevant than everybody that I know.,song,krishna_17 (4th place),5,2554,Liad (ozonzono),2,61 WPM Try,Losing My Edge,"[('synthesizer', 't instead of n'), ('an', ' instead of n'), ('the', 'w instead of w'), ('window', 'n instead of b'), ('because', ' instead of e'), ('want', 'a instead of w'), ('record.', 'e instead of r'), ('and', 'h instead of a'), ('guitars', 'l instead of r'), ('bought', 't instead of g'), ('turntables.', 'a instead of t'), ('have', 'a instead of h'), ('your', ' instead of r'), ('bought', 't instead of g'), ('everybody', 't instead of y'), ('than', 't instead of n'), ('that', 't instead of a')]"
96.1%,"Larry David, Jerry Seinfeld","Sat, 11 May 2019 18:05:25 +0000","On my block, a lot of people walk their dogs, and I always see them walking along with their little poop bags, which to me is just the lowest function of human life. If aliens are watching this through telescopes, they're gonna think the dogs are the leaders. If you see two life forms, one of them's making a poop, the other one's carrying it for him, who would you assume was in charge?",other,ngabz (5th place) redline_x (1st place),5,2555,Liad (ozonzono),4,62 WPM Try,Seinfeld,"[('a', 'l instead of l'), ('people', 'o instead of p'), ('dogs,', 'f instead of d'), ('the', 'w instead of e'), ('lowest', 's instead of e'), ('function', 'c instead of n'), ('aliens', 'e instead of i'), ('telescopes,', 'p instead of c'), ('the', 'e instead of h'), ('leaders.', 'r instead of d'), ('one', 'n instead of o'), ('of', 'f instead of o'), ('poop,', 'l instead of ,'), ('other', 't instead of o'), ('carrying', 'i instead of y'), ('you', 'o instead of y')]"
93.7%,Terry Jones,"Sat, 11 May 2019 18:08:40 +0000","Oh, what sad times are these when passing ruffians can say Ni at will to old ladies. There is a pestilence upon this land, nothing is sacred. Even those who arrange and design shrubberies are under considerable economic stress in this period in history.",movie,,2,2556,Liad (ozonzono),2,56 WPM Try,Monty Python and the Holy Grail,"[('these', 's instead of e'), ('passing', 'a instead of p'), ('ruffians', 'h instead of f'), ('at', 'a instead of t'), ('ladies.', 'a instead of l'), ('upon', 's instead of t'), ('nothing', 't instead of n'), ('sacred.', 'c instead of s'), ('who', 'e instead of a'), ('design', 'e instead of d'), ('shrubberies', 'i instead of e'), ('under', 's instead of c'), ('considerable', 'c instead of d'), ('economic', 'i instead of o'), ('period', 's instead of d')]"
96.9%,"Gustave Flaubert, translated by Unknown","Sat, 11 May 2019 18:09:24 +0000","Human speech is like a cracked kettle on which we tap crude rhythms for bears to dance to, while we long to make music that will melt the stars.",book,stephan_t (1st place),5,2557,Liad (ozonzono),4,60 WPM Try,Madame Bovary,"[('speech', 'i instead of i'), ('rhythms', 't instead of r'), ('dance', ', instead of t')]"
96.5%,Leo Tolstoy,"Sat, 11 May 2019 18:10:35 +0000","All the girls in the world were divided into two classes: one class included all the girls in the world except her, and they had all the usual human feelings and were very ordinary girls; while the other class - herself alone - had no weaknesses and was superior to all humanity.",book,akrish (1st place) jope (5th place),5,2558,Liad (ozonzono),4,59 WPM Try,Anna Karenina,"[('divided', 'e instead of i'), ('classes:', 's instead of a'), ('class', ' instead of l'), ('the', 'w instead of e'), ('all', 't instead of a'), ('human', 'a instead of m'), ('very', 'r instead of e'), ('had', 'n instead of h'), ('weaknesses', 'a instead of e'), ('superior', 'o instead of e')]"
95.7%,XTC,"Sat, 11 May 2019 18:12:19 +0000","Never been near a university, never took a paper or a learned degree, and some of your friends think that's stupid of me, but it's nothing that I care about. Well I don't know how to tell the weight of the sun, and of mathematics well I want none, and I may be the Mayor of Simpleton, but I know one thing and that's I love you. When their logic grows cold and all thinking gets done, you'll be warm in the arms of the Mayor of Simpleton.",song,stephan_t (3rd place),5,2559,Liad (ozonzono),2,60 WPM Try,The Mayor of Simpleton,"[('near', 'e instead of n'), ('or', 'f instead of r'), ('learned', 'n instead of r'), ('your', ' instead of r'), ('stupid', 'n instead of d'), ('nothing', 'm instead of n'), ('Well', 'w instead of W'), ('weight', 'i instead of e'), ('want', 'a instead of w'), ('none,', 'w instead of e'), ('may', 'n instead of y'), ('Simpleton,', 'o instead of i'), ('one', 'w instead of t'), ('thing', 'j instead of i'), ('I', 'l instead of I'), ('logic', 'n instead of c'), ('all', 'l instead of a'), ('Simpleton.', 'o instead of i')]"
94.8%,Garry Trudeau,"Sat, 11 May 2019 19:27:00 +0000","Boy, what a pair we're going to make! A football player and a lover boy! I could get you girls, and you could get me football tickets. It certainly has amazing advantages.",book,,5,2560,Liad (ozonzono),4,56 WPM Try,40: A Doonesbury Retrospective,"[(""we're"", ""r instead of '""), ('football', ' instead of b'), ('player', 'a instead of l'), ('and', ' instead of d'), ('lover', ' instead of r'), ('It', 'T instead of t'), ('certainly', 't instead of r'), ('amazing', 'm instead of a'), ('advantages.', 't instead of n')]"
97.1%,"Ron Clements, John Musker","Sun, 12 May 2019 06:20:08 +0000","To be my own master. Such a thing would be greater than all the magic and all the treasures in all the world! But what am I talking about? Let's get real here, it's not gonna happen. Genie, wake up and smell the hummus.",movie,narzzz (4th place) slowest____ (3rd place),5,2561,Liad (ozonzono),2,64 WPM Try,Aladdin,"[('magic', 'a instead of m'), ('and', 'n instead of d'), ('world!', 'r instead of o'), ('gonna', 'a instead of o'), ('happen.', ', instead of .'), ('Genie,', 'i instead of n'), ('hummus.', 'm instead of h')]"
95.6%,Gabriel García Márquez,"Sun, 12 May 2019 06:22:05 +0000","Although his voice was also broken by uncertainty and his hands seemed to doubt the existence of things, it was evident that he came from the world where men could still sleep and remember.",book,sychos (2nd place),5,2562,Liad (ozonzono),4,55 WPM Try,One Hundred Years of Solitude,"[('Although', 'o instead of h'), ('was', 'a instead of w'), ('seemed', 's instead of e'), ('doubt', 'b instead of d'), ('existence', 's instead of x'), ('came', 'e instead of m'), ('the', 'w instead of w'), ('sleep', 'k instead of l'), ('remember.', 'm instead of e')]"
97.4%,Spike Chunsoft,"Sun, 12 May 2019 06:22:55 +0000",You claim there's no hope left in the world. But if despair is contagious like you say... then so is hope! I'll use my own hope to plant seeds of hope inside everyone else!,game,,5,2563,Liad (ozonzono),2,61 WPM Try,Danganronpa: Trigger Happy Havoc,"[('despair', 't instead of i'), ('say...', 'e instead of a'), ('then', ' instead of n'), ('own', 'w instead of o'), ('else!', '. instead of !')]"
